# This file give you represants of all isomorphism classes of homogeneous projective polynomials over P_2 by applying PGL_3 and their class size.
# Homogeneous Degree | Field Order
1_014 1_023 1_041 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_041 1_113 1_131 1_140 1_203 1_311 | 168
1_032 1_041 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_041 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_041 1_113 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_041 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_041 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_023 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_032 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_041 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_041 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_023 1_041 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_041 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_041 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_032 1_041 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_041 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_041 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_041 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_050 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_023 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_032 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_032 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_032 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_041 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_041 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_041 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_041 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_041 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_041 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_032 1_041 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_032 1_041 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_041 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_041 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_032 1_041 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_023 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_032 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_041 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_041 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_041 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_023 1_041 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_041 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_041 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_032 1_041 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_041 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_041 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_032 1_041 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_041 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_050 1_104 1_113 1_131 1_140 1_203 1_311 | 168
1_014 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_032 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_032 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_041 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_041 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_041 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_041 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_041 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_032 1_041 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_041 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_032 1_041 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_041 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_032 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_041 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_041 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_041 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_041 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_032 1_041 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_041 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_041 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_041 1_050 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_032 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_032 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_032 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 84
1_014 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_032 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_032 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_032 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 84
1_005 1_014 1_023 1_032 1_041 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 84
1_005 1_014 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_032 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_032 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_032 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 84
1_014 1_023 1_032 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_032 1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_032 1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_032 1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_050 1_104 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_041 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_041 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_041 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_041 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_032 1_041 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_041 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_041 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_041 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_041 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_041 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_032 1_041 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_041 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_041 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_041 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_050 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_032 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_032 1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_032 1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_032 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_032 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_032 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_032 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_032 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_023 1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_032 1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_032 1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_032 1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_023 1_032 1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_023 1_032 1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_050 1_104 1_113 1_122 1_131 1_140 1_203 1_311 | 168
1_014 1_041 1_203 1_230 1_311 | 84
1_005 1_023 1_041 1_203 1_230 1_311 | 168
1_014 1_023 1_041 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_041 1_203 1_230 1_311 | 168
1_005 1_032 1_041 1_203 1_230 1_311 | 168
1_005 1_023 1_032 1_041 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_203 1_230 1_311 | 168
1_005 1_050 1_203 1_230 1_311 | 84
1_005 1_023 1_050 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_032 1_050 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_050 1_203 1_230 1_311 | 84
1_041 1_104 1_203 1_230 1_311 | 168
1_005 1_041 1_104 1_203 1_230 1_311 | 168
1_014 1_041 1_104 1_203 1_230 1_311 | 168
1_005 1_014 1_041 1_104 1_203 1_230 1_311 | 168
1_005 1_023 1_041 1_104 1_203 1_230 1_311 | 168
1_014 1_023 1_041 1_104 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_041 1_104 1_203 1_230 1_311 | 168
1_032 1_041 1_104 1_203 1_230 1_311 | 168
1_005 1_032 1_041 1_104 1_203 1_230 1_311 | 168
1_014 1_032 1_041 1_104 1_203 1_230 1_311 | 168
1_023 1_032 1_041 1_104 1_203 1_230 1_311 | 168
1_005 1_023 1_032 1_041 1_104 1_203 1_230 1_311 | 168
1_014 1_023 1_032 1_041 1_104 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_104 1_203 1_230 1_311 | 168
1_050 1_104 1_203 1_230 1_311 | 168
1_005 1_050 1_104 1_203 1_230 1_311 | 168
1_014 1_050 1_104 1_203 1_230 1_311 | 168
1_005 1_014 1_050 1_104 1_203 1_230 1_311 | 168
1_023 1_050 1_104 1_203 1_230 1_311 | 168
1_005 1_023 1_050 1_104 1_203 1_230 1_311 | 168
1_014 1_023 1_050 1_104 1_203 1_230 1_311 | 168
1_005 1_032 1_050 1_104 1_203 1_230 1_311 | 168
1_014 1_032 1_050 1_104 1_203 1_230 1_311 | 168
1_005 1_014 1_032 1_050 1_104 1_203 1_230 1_311 | 168
1_023 1_032 1_050 1_104 1_203 1_230 1_311 | 168
1_005 1_023 1_032 1_050 1_104 1_203 1_230 1_311 | 168
1_014 1_023 1_032 1_050 1_104 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_032 1_050 1_104 1_203 1_230 1_311 | 168
1_032 1_041 1_050 1_104 1_203 1_230 1_311 | 168
1_014 1_032 1_041 1_050 1_104 1_203 1_230 1_311 | 168
1_005 1_014 1_032 1_041 1_050 1_104 1_203 1_230 1_311 | 168
1_023 1_032 1_041 1_050 1_104 1_203 1_230 1_311 | 168
1_005 1_023 1_032 1_041 1_050 1_104 1_203 1_230 1_311 | 168
1_014 1_023 1_032 1_041 1_050 1_104 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_050 1_104 1_203 1_230 1_311 | 168
1_005 1_014 1_041 1_113 1_203 1_230 1_311 | 168
1_023 1_041 1_113 1_203 1_230 1_311 | 168
1_014 1_023 1_041 1_113 1_203 1_230 1_311 | 168
1_014 1_032 1_041 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_032 1_041 1_113 1_203 1_230 1_311 | 168
1_023 1_032 1_041 1_113 1_203 1_230 1_311 | 168
1_014 1_023 1_032 1_041 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_113 1_203 1_230 1_311 | 168
1_014 1_050 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_050 1_113 1_203 1_230 1_311 | 168
1_014 1_023 1_050 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_050 1_113 1_203 1_230 1_311 | 168
1_032 1_050 1_113 1_203 1_230 1_311 | 168
1_014 1_032 1_050 1_113 1_203 1_230 1_311 | 168
1_023 1_032 1_050 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_032 1_050 1_113 1_203 1_230 1_311 | 168
1_032 1_041 1_050 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_032 1_041 1_050 1_113 1_203 1_230 1_311 | 168
1_023 1_032 1_041 1_050 1_113 1_203 1_230 1_311 | 168
1_014 1_023 1_032 1_041 1_050 1_113 1_203 1_230 1_311 | 168
1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_014 1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_023 1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_014 1_023 1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_032 1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_032 1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_014 1_032 1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_032 1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_023 1_032 1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_023 1_032 1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_014 1_023 1_032 1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_104 1_113 1_203 1_230 1_311 | 168
1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_023 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_023 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_014 1_023 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_032 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_032 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_014 1_032 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_032 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_023 1_032 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_023 1_032 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_014 1_023 1_032 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_032 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_032 1_041 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_014 1_032 1_041 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_032 1_041 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_023 1_032 1_041 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_023 1_032 1_041 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_014 1_023 1_032 1_041 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_014 1_023 1_032 1_041 1_050 1_104 1_113 1_203 1_230 1_311 | 168
1_005 1_041 1_122 1_203 1_230 1_311 | 168
1_014 1_041 1_122 1_203 1_230 1_311 | 84
